fecha,local_id,fk_region,fk_comuna,fk_localidad,local_nombre,comuna_nombre,localidad_nombre,local_direccion,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_telefono,local_lat,local_lng,funcionamiento_dia
2020-04-26,10,6,69,32,AHUMADA,QUILLOTA,QUILLOTA,O`HIGGINS 114-116,09:00:00,08:59:00,+563326313154,-32.8785857529787,-71.2467680389193,domingo
2020-04-26,36,6,56,12,SALCOBRAND,LA CALERA,LA CALERA,J.J. PEREZ 152,09:00:00,08:59:00,+56332228236,-32.7886912401306,-71.1895755139754,domingo
2020-04-26,39,6,59,17,CRUZ VERDE,LIMACHE,LIMACHE,PALMIRA ROMANO 405,09:00:00,08:59:00,+56332414665,-33.0021934734243,-71.2680155185573,domingo
2020-04-26,65,6,71,34,ECONOMICA,QUINTERO,QUINTERO,PILOTO ALCAYAGA  N° 1919,09:00:00,08:59:00,+56322932576,-32.7856824763479,-71.526446430538,domingo
2020-04-26,71,6,79,40,ECOFARMACIAS,VILLA ALEMANA,VILLA ALEMANA,AV.VALPARAISO N° 855,09:00:00,08:59:00,+56322541409,-33.0444421989303,-71.3763676925287,domingo
2020-04-26,220,6,73,19,SAN ENRIQUE,SAN ANTONIO,SAN ANTONIO,AV. CENTENARIO  N° 67,09:00:00,08:59:00,+56352216791,-33.5808947818732,-71.612144987547,domingo
2020-04-26,254,6,58,14,ECOFARMACIAS,LA LIGUA,LA LIGUA,ORTIZ DE ROZAS N° 498,09:00:00,08:59:00,"+56713253, 3",-32.4488813729109,-71.231006201479,domingo
2020-04-26,258,6,61,20,CRUZ VERDE,LOS ANDES,LOS ANDES,"AV. ARGENTINA N° 805, L-1020",09:00:00,08:59:00,+5634800802800,-32.8271626821526,-70.6026688445253,domingo
2020-04-26,283,6,75,37,CRUZ VERDE,SAN FELIPE,SAN FELIPE,"O'HIGGINS N° 1150, L-1030",09:00:00,08:59:00,+56532399,-32.756866791555,-70.7229610019134,domingo
2020-04-26,313,6,50,8,CONCÓN,CONCON,CONCON,CALLE SIETE 685,09:00:00,08:59:00,+56322816359,-32.9244663893306,-71.5164225252732,domingo
2020-04-27,757,7,83,102,DEL DR. SIMI ,BUIN,BUIN,SANTA MARÍA N° 304,08:00:00,07:59:00,+560228211152,-33.733185,-70.737136,lunes
2020-04-27,782,7,86,105,CRUZ VERDE ,CERRO NAVIA,CERRO NAVIA,AV. JOSE JOAQUIN PEREZ 7262,08:00:00,07:59:00,+560226495532,-33.429454,-70.735863,lunes
2020-04-27,875,7,92,111,ESPOZ,ESTACION CENTRAL,ESTACION CENTRAL,AV. LIBERTADOR BERNARDO O'HIGGINS 6002,08:00:00,07:59:00,+560227791721,-33.45794,-70.707389,lunes
2020-04-27,916,7,94,113,SALCOBRAND,INDEPENDENCIA,INDEPENDENCIA,AV. INDEPENDENCIA 902-906,08:00:00,07:59:00,+560224440812,-33.420452,-70.655914,lunes
2020-04-27,1172,7,103,122,SALCOBRAND,LO BARNECHEA,LO BARNECHEA,SANTA BLANCA 1996,08:00:00,07:59:00,+560222418471,-33.355194,-70.532187,lunes
2020-04-27,1183,7,105,124,DEL DR. SIMI ,LO PRADO,LO PRADO,NEPTUNO 814  L-C,08:00:00,07:59:00,+560227721247,-33.444155,-70.723418,lunes
2020-04-27,1426,7,115,134,GALLARDO,PEÑALOLEN,PEÑALOLEN,SANTA MARIA 2286,08:00:00,07:59:00,+560222760967,-33.477724,-70.572401,lunes
2020-04-27,1522,7,118,137,ESPOZ,PUDAHUEL,PUDAHUEL,SAN PABLO 8919 - A,08:00:00,07:59:00,+560226436290,-33.443027,-70.75863,lunes
2020-04-27,1536,7,119,138,SALCOBRAND,PUENTE ALTO,PUENTE ALTO NORTE,AV. CAMILO HENRIQUEZ  4583,08:00:00,07:59:00,+560226376100,-33.557954,-70.559352,lunes
2020-04-27,1716,7,124,143,GALENICA ,SAN BERNARDO,SAN BERNARDO,EYZAGUIRRE  523,08:00:00,07:59:00,+560225947948,-33.59314,-70.705474,lunes
2020-04-27,1752,7,127,146,CARLY,SAN MIGUEL,SAN MIGUEL,GRAN AVENIDA JOSE MIGUEL CARRERA 5417,08:00:00,07:59:00,+560225221917,-33.502822,-70.654847,lunes
2020-04-27,1957,7,133,152,DEL DR. SIMI ,TALAGANTE,TALAGANTE,AV. BERNARDO O'HIGGINS 1085,08:00:00,07:59:00,+560228380260,-33.663898,-70.928893,lunes
2020-04-27,2274,10,200,219,DR. SIMI,ARAUCO,ARAUCO,ESMERALDA 390-B,08:00:00,23:59:00,+56412552866,-37.2466873964,-73.3162825246,lunes
2020-04-27,2276,16,201,220,SANITEX,BULNES,BULNES,CARLOS PALACIOS N°339,08:00:00,23:59:00,+56422631055,-36.7436624016,-72.2972341468,lunes
2020-04-26,2286,10,204,223,CRUZ VERDE,CHIGUAYANTE,CHIGUAYANTE LOCALIDAD 1,M. RODRIGUEZ 925,09:00:00,08:59:00,+56412364476,-36.9296186186,-73.0232187786,domingo
2020-04-26,2302,16,205,224,CRUZ VERDE,CHILLAN,CHILLAN - LOCALIDAD 1,CINCO DE ABRIL N° 701,09:00:00,08:59:00,+56422228423,-36.6091666666667,-72.1017027777778,domingo
2020-04-27,2324,16,208,227,VIDASUR,COELEMU,COELEMU,EXEQUIEL LARENAS Nº 419,08:00:00,23:59:00,+56422510167,-36.4905815299,-72.7028953943,lunes
2020-04-27,2341,10,210,375,CRUZ VERDE,CONCEPCION,CONCEPCION CENTRO,OHIGGINS 801,08:00:00,23:59:00,+56412521619,-36.8267888,-73.04796929999998,lunes
2020-04-26,2388,10,212,231,CRUZ VERDE,CORONEL,CORONEL CENTRO,MANUEL MONTT 399,09:00:00,08:59:00,+56412714020,-37.0266927316,-73.1474605621,domingo
2020-04-27,2397,10,213,232,DR. SIMI,CURANILAHUE,CURANILAHUE LOCALIDAD 1,ARTURO PRAT Nº 1280,08:00:00,23:59:00,+56412693982,-37.4762810554,-73.3469469826,lunes
2020-04-27,2412,10,218,237,REDFARMA,LEBU,LEBU LOCALIDAD 1,RIOSECO Nº 155,08:00:00,23:59:00,+56412511109,-37.609714,-73.64832899999999,lunes
2020-04-26,2420,10,227,246,DR. SIMI,PENCO,PENCO,FREIRE 688,09:00:00,08:59:00,+56412451962,-36.7367072604,-72.9929140177,domingo
2020-04-27,2429,16,233,252,FARMAX,QUIRIHUE,QUIRIHUE,AVDA. ARTURO PRAT N°477 L-15,08:00:00,23:59:00,+56422531296,-36.2831617976,-72.5451670814,lunes
2020-04-26,2436,16,235,254,DR. SIMI,SAN CARLOS,SAN CARLOS - LOCALIDAD 1,INDEPENDENCIA Nº 651,09:00:00,08:59:00,+56422423702,-36.424975,-71.9573055555556,domingo
2020-04-26,2443,10,240,259,CRUZ VERDE,SAN PEDRO DE LA PAZ,SAN PEDRO DE LA PAZ NORTE,"AV. LAGUNA GRANDE Nº 115, SAN PEDRO DEL VALLE",09:00:00,08:59:00,+56413168608,-36.838951372,-73.1195813572,domingo
2020-04-26,2466,10,244,263,PORTUS,TALCAHUANO,TALCAHUANO-HUALPEN CENTRO,"LAS LILAS Nº 16, LOS CONDORES",09:00:00,08:59:00,+56412580032,-36.757193496,-73.0903044193,domingo
2020-04-27,2482,16,250,269,FARMITALIA,YUNGAY,YUNGAY,HUAMACHUCO N°216 - B,08:00:00,23:59:00,+562266311,-37.1203816986,-72.0164869339,lunes
2020-04-26,2496,10,220,239,AHUMADA,LOS ANGELES,LOS ANGELES - LOCALIDAD 1,COLÓN 468,09:00:00,08:59:00,+56026313140,-37.468317,-72.350828,domingo
2020-04-27,2503,10,202,221,REDFARMA,CABRERO,CABRERO,RIO CLARO 98-A,08:00:00,23:59:00,+56432410686,-37.0346120084733,-72.4018661021767,lunes
2020-04-27,2506,10,249,268,YUMBEL,YUMBEL,YUMBEL - LOCALIDAD 1,O'HIGGINS 790,08:00:00,23:59:00,+56432431428,-37.0987098712804,-72.5615083393547,lunes
2020-04-27,2509,10,217,236,CRUZ VERDE,LAJA,LAJA,BALMACEDA 215,08:00:00,23:59:00,+56432461396,-37.2808995741786,-72.7145072012491,lunes
2020-04-27,2510,10,223,242,DR. SIMI,NACIMIENTO,NACIMIENTO,SAN MARTIN 549-B,08:00:00,23:59:00,+56432511498,-37.500921,-72.673111,lunes
2020-04-27,2516,10,222,241,CORDILLERA,MULCHEN,MULCHEN - LOCALIDAD 1,PEDRO LAGOS 549,08:00:00,23:59:00,+56432562388,-37.71991275593828,-72.24307118357547,lunes
2020-04-26,3124,4,22,78,FARMACIA LA BOTIKA,CALDERA,CALDERA,COUSIÑO  N° 325,09:00:00,08:59:00,+5652,-27.0676726,-70.82156559999999,domingo
2020-04-26,3134,4,24,80,FARMACIA  SALCOBRAND,COPIAPO,COPIAPO,COLIPI  N°484,09:00:00,08:59:00,+565222213697,-27.3656598,-70.33040440000002,domingo
2020-04-26,3146,4,29,85,FARMACIA AHUMADA,VALLENAR,VALLENAR,ARTURO PRAT N° 1100,09:00:00,08:59:00,+563254,-28.5769305,-70.75857859999996,domingo
2020-04-26,3159,4,23,79,FARMACIA PAEZ,CHAÑARAL,CHAÑARAL,RAUL BARRIONUEVO  N° 156,09:00:00,08:59:00,+56522481455,-26.33559270469468,-70.61389949814759,domingo
2020-04-26,3163,12,287,306,TORRES,LOS LAGOS,LOS LAGOS,BALMACEDA SUR Nº 047,09:00:00,08:59:00,+56632461370,-39.86344,-72.813917,domingo
2020-04-26,3167,12,283,302,CRUZ VERDE,FUTRONO,FUTRONO,BALMACEDA Nº 241,09:00:00,08:59:00,+56632482895,-40.13144444,-72.3898333333,domingo
2020-04-26,3173,12,292,311,PLAZA,PAILLACO,PAILLACO,O´HIGGINS Nº 367,09:00:00,08:59:00,+56632422244,-40.0711944,-72.8724722,domingo
2020-04-26,3176,12,293,312,DEL DR. SIMI,RIO BUENO,RIO BUENO,PEDRO LAGOS N° 622,09:00:00,08:59:00,+56632341818,-40.334403,-72.954823,domingo
2020-04-26,3186,12,291,310,DEL DR. SIMI,PANGUIPULLI,PANGUIPULLI,MARTINEZ DE ROSAS Nº 531,09:00:00,08:59:00,+56632311500,-39.643055555556,-72.3296944444444,domingo
2020-04-26,3189,12,284,303,DEL DR. SIMI,LA UNION,LA UNION,MANUEL MONTT Nº 380,09:00:00,08:59:00,+56632320941,-40.294777777,-73.0814722222,domingo
2020-04-26,3210,12,290,309,CRUZ VERDE,VALDIVIA,VALDIVIA,RAMÓN PICARTE Nº 384,09:00:00,08:59:00,+56632254705,-39.814339,-73.24439769999998,domingo
2020-04-26,3227,11,275,294,FARMACIA CRUZ VERDE,TEMUCO,TEMUCO,MANUEL BULNES 298,09:00:00,08:59:00,+56452217860,-38.736442433072746,-72.5886339276127,domingo
2020-04-26,3239,13,318,337,FARMACIA CRUZ VERDE,QUELLON,QUELLON,LADRILLEROS 399,09:00:00,08:59:00,+560987,-43.1175146,-73.61678059999997,domingo
2020-04-26,3243,13,320,339,FARMACIA REDFARMA 104,QUINCHAO,QUINCHAO,"ARTURO PRAT 46, ACHAO",09:00:00,08:59:00,+56652661101,-42.472032,-73.48977200000002,domingo
2020-04-26,3244,13,301,320,FARMACIA USYDAL,DALCAHUE,DALCAHUE,RAMÓN FREIRE 506,09:00:00,08:59:00,+56652641727,-42.3788566,-73.6499556,domingo
2020-04-26,3246,13,298,317,FARMACIA AUSTRAL,CHONCHI,CHONCHI,SARGENTO CANDELARIA 286,09:00:00,08:59:00,+56652671501,-42.6229172,-73.7785645,domingo
2020-04-26,3255,13,294,313,FARMACIA CRUZ VERDE ,ANCUD,ANCUD,PUDETO Nº254,09:00:00,08:59:00,+56652622283,-41.8687706,-73.8270569,domingo
2020-04-26,3268,13,296,315,FARMACIA DR. SIMI ,CASTRO,CASTRO,ELEUTERIO RAMIREZ 247,09:00:00,08:59:00,+56652631191,-42.4793025,-73.7635803,domingo
2020-04-26,3294,3,15,71,FARMACIA FIGUESAN,MEJILLONES,MEJILLONES,ALMIRANTE LATORRE N° 637,09:00:00,08:59:00,+56552622038,-23.10000589138066,-70.44820569455624,domingo
2020-04-26,3305,13,313,332,FARMACIAS CRUZ VERDE ,PUERTO VARAS,SECTOR CENTRO,"SAN FRANCISCO Nº 400, PUERTO VARAS",09:00:00,08:59:00,+56652232483,-41.317269,-72.98508129999999,domingo
2020-04-26,3315,5,43,99,CHOAPA,SALAMANCA,SALAMANCA,MANUEL BULNES 498 LOCAL 4,09:00:00,08:59:00,+56532551067,-31.781396353687686,-70.96444150097341,domingo
2020-04-26,3322,13,307,326,FARMACIA GALENO,LOS MUERMOS,LOS MUERMOS,ANTONIO VARAS 402 LOS MUERMOS,09:00:00,08:59:00,+56652211473,-41.39538690384782,-73.4652328491211,domingo
2020-04-26,3351,13,306,325,FARMACIA CRUZ VERDE ,LLANQUIHUE,LLANQUIHUE,BAQUEDANO Nº 506  LLANQUIHUE,09:00:00,08:59:00,+56652242666,-41.2546828,-73.0061713,domingo
2020-04-26,3366,14,324,343,FARMACIAS CRUZ VERDE,AYSEN,AYSEN,SARGENTO ALDEA N° 743. PUERTO AYSEN,09:00:00,08:59:00,+56672332543,-45.405236,-72.697167,domingo
2020-04-26,3383,13,303,322, FARMACIA FRUTILLAR,FRUTILLAR,FRUTILLAR,CARLOS RICHTER 162 FRUTILLAR,09:00:00,08:59:00,+56652421334,-41.126514081028006,-73.05891841650009,domingo
2020-04-27,3416,2,5,61,VITAL,ALTO HOSPICIO,ALTO HOSPICIO,AVENIDA LOS ALAMOS  1056-B,08:00:00,23:59:00,+56572243843,-20.2623661,-70.0964401,lunes
2020-04-27,3421,15,339,358,CRUZ VERDE ,PUNTA ARENAS,PUNTA ARENAS,AV. ESPAÑA Nº 01375 MÓDULOS 2 Y 3,08:00:00,23:59:00,+56612613758,-53.13920233408972,-70.89237213134766,lunes
2020-04-26,3431,13,309,328,FARMACIAS DEL DR. SIMI,OSORNO,SECTOR CENTRO,ELEUTERIO RAMIREZ Nº 690,09:00:00,08:59:00,+5664,-40.5729657,-73.13864419999999,domingo
2020-04-26,3436,13,315,334,FARMACIA SUR,PURRANQUE,PURRANQUE,PEDRO MONTT 126,09:00:00,08:59:00,+56642351320,-40.91432334826148,-73.1590747833252,domingo
2020-04-27,3444,15,338,357,CRUZ VERDE ,PUERTO NATALES,PUERTO NATALES,BAQUEDANO 331,08:00:00,23:59:00,+56612414840,-51.7333,-72.50378,lunes
2020-04-26,3460,14,328,347,FARMACIAS SALCOBRAND,COYHAIQUE,COYHAIQUE,FRANCISCO BILBAO Nº 326. COYHAIQUE,09:00:00,08:59:00,+56672210460,-45.5722302,-72.07038060000002,domingo
2020-04-26,3525,11,251,270,FARMACIA VITASUR,ANGOL,ANGOL,OHIGGINS Nº 1257 L-4,09:00:00,08:59:00,+56452464585,-37.807191908986496,-72.68958131968054,domingo
2020-04-26,3529,11,271,290,FARMACIA RELMU,PUCON,PUCON,FRESIA Nº 374,09:00:00,08:59:00,+56452441204,-39.27635896927049,-71.9762637556114,domingo
2020-04-26,3534,11,279,298,FARMACIA AHUMADA,VICTORIA,VICTORIA,GRAL. LAGOS Nº 567,09:00:00,08:59:00,+56452910252,-38.234433009710806,-72.33275308991011,domingo
2020-04-26,3541,11,278,297,FARMACIA DR. SIMI,TRAIGUEN,TRAIGUEN,SANTA CRUZ Nº 902,09:00:00,08:59:00,+56452862763,-38.25050553043821,-72.6683815534592,domingo
2020-04-26,3543,11,255,274,FARMACIA HUMANITARIA,CURACAUTIN,CURACAUTIN,OHIGGINS Nº 698,09:00:00,08:59:00,+56452881233,-38.437907631144625,-71.8893141941262,domingo
2020-04-26,3549,11,252,271,FARMACHILE ,CARAHUE,CARAHUE,LAUTARO Nº 298,09:00:00,08:59:00,+56452652091,-38.712308210701124,-73.16674910779568,domingo
2020-04-26,3559,11,281,300,SALCOBRAND ,VILLARRICA,VILLARRICA,CAMILO HENRIQUEZ Nº547,09:00:00,08:59:00,+56452413792,-39.28223432107431,-72.22771951640124,domingo
2020-04-26,3565,11,261,280,DR. SIMI,LAUTARO,LAUTARO,OHIGGINS Nº 707,09:00:00,08:59:00,+56452533246,-38.53093159891467,-72.43402816122438,domingo
2020-04-26,3571,11,253,272,DR. SIMI,COLLIPULLI,COLLIPULLI,OCARROL Nº 964,09:00:00,08:59:00,+56452519138,-37.95695865633374,-72.43627246664641,domingo
2020-04-26,3574,11,262,281,F. FRANCIA,LONCOCHE,LONCOCHE,P. MONTT Nº 648,09:00:00,08:59:00,+56452471095,-39.37087365983213,-72.63148349570082,domingo
2020-04-27,3697,8,144,163,SAN JUAN,LAS CABRAS,LAS CABRAS,JOSÉ MIGUEL CARRERA N° 385,08:00:00,23:59:00,+56722501161,-34.292063595866885,-71.30947456627041,lunes
2020-04-27,3699,8,155,174,FARCO,PERALILLO,PERALILLO,AVENIDA ERRÁZURIZ N° 562,08:00:00,23:59:00,+567295304625,-34.478990414527445,-71.48123475855249,lunes
2020-04-27,3701,8,157,176,CUARTOCENTENARIO,PICHIDEGUA,PICHIDEGUA,INDEPENDENCIA N° 562,08:00:00,23:59:00,+56722591329,-34.35903622934217,-71.28249770052491,lunes
2020-04-27,3709,8,150,169,FARMAX,NANCAGUA,NANCAGUA,"MANUEL RODRÍGUEZ 232-C, NANCAGUA",08:00:00,23:59:00,+56722858408,-34.65103207788392,-71.20323980693831,lunes
2020-04-26,3720,8,165,184,LOURDES,SAN FERNANDO,SAN FERNANDO,MANUEL RODRÍGUEZ N° 1079,09:00:00,08:59:00,+56722712209,-34.5885004874895,-70.98247259659001,domingo
2020-04-26,3723,8,166,185,VÍA VERDE,SAN FRANCISCO DE MOSTAZAL,SAN FRANCISCO DE MOSTAZAL,INDEPENDENCIA N° 361-B,09:00:00,08:59:00,+56722491253,-33.978526028591716,-70.7123248245046,domingo
2020-04-27,3762,8,158,177,POSTO VERDE,PICHILEMU,PICHILEMU,ANIBAL PINTO N° 246-A,08:00:00,23:59:00,+56722842602,-34.387368449712255,-72.00575477196656,lunes
2020-04-26,3765,8,167,186,POSTO VERDE,SAN VICENTE,SAN VICENTE,GERMAN RIESCO N° 995,09:00:00,08:59:00,+56722573214,-34.43906672890119,-71.07838259206335,domingo
2020-04-26,3781,8,137,156,FARMACIA CRUZ VERDE,CHIMBARONGO,CHIMBARONGO,MIRAFLORES N° 399,09:00:00,08:59:00,+56722781395,-34.708745722167066,-71.044027980951,domingo
2020-04-27,3870,3,13,69,FARMACIA CRUZ VERDE,CALAMA,CALAMA,ELEUTERIO RAMIREZ Nº1977-1979,08:00:00,07:59:00,+56552364724,-22.4618911,-68.92550469999998,lunes
2020-04-26,3884,9,172,191,FARMACIA FARMASUR,CONSTITUCION,CONSTITUCION,FREIRE N° 805-B,09:00:00,08:59:00,+560,-35.334175,-72.409846,domingo
2020-04-26,3904,9,174,193,FARMACIA SALCOBRAND,CURICO,CURICO CENTRO,PEÑA N° 856,09:00:00,08:59:00,+56,-34.98203399,-71.24189233,domingo
2020-04-26,4049,10,246,265,VIDASUR,TOME,TOME,MANUEL MONTT 1216,09:00:00,08:59:00,+56412657542,-36.6181214,-72.9547733,domingo
2020-04-26,4140,12,289,308,INTEGRAL,MARIQUINA,MARIQUINA,MARIQUINA Nº 1295,09:00:00,08:59:00,+5663,-39.538861,-72.962722,domingo
2020-04-27,4317,8,164,183,FARMACIA SU SALUD,REQUINOA,REQUINOA,PASAJE CARLOS NIENY Nº 14 LOCAL 1. REQUINOA,08:00:00,23:59:00,+560945015980,-34.28837499999999,-70.815833,lunes
2020-04-26,4357,11,267,286,DR. SIMI,NUEVA IMPERIAL,NUEVA IMPERIAL,A. PRAT N°232,09:00:00,08:59:00,+56452611288,-38.744145443741864,-72.95253026325992,domingo
2020-04-26,4377,11,270,289,FARMACIA DR. SIMI,PITRUFQUEN,PITRUFQUEN,FCO. BILBAO 402,09:00:00,08:59:00,+5645,-38.98589364248915,-72.63917753701787,domingo
2020-04-26,4381,3,19,75,FARMACIA FARMAPLUSS,TALTAL,TALTAL,"PRAT Nº 785, TALTAL",09:00:00,08:59:00,+56552612199,-25.4054866,-70.4824276,domingo
2020-04-27,4426,10,219,238,FARMA SALUD,LOS ALAMOS,LOS ALAMOS,COLÓN 222 LOCAL 4,08:00:00,23:59:00,+560,-37.625965,-73.4623389,lunes
2020-04-26,4517,13,295,314,FARMACIA DR.SIMI,CALBUCO,CALBUCO,"FEDERICO ERRAZURIZ Nº 599 –B, COMUNA DE CALBUCO",09:00:00,08:59:00,+5665652462360,-41.7745255,-73.1273185,domingo
2020-04-26,4586,6,70,33,ECONATURA,QUILPUE,QUILPUE,BLANCO 1023 L-2,09:00:00,08:59:00,+56322910940,-33.0464920229129,-71.4383282405754,domingo
2020-04-26,4594,11,281,450,FARMACIA CRUZ DEL SUR,VILLARRICA,LICAN RAY,GENERAL URRUTIA Nº 430 LOCALIDAD LICAN RAY,09:00:00,08:59:00,+564573881572,-39.4885227,-72.1584856,domingo
2020-04-26,4643,5,34,90,FARMACIA VIDA PLENA,ILLAPEL,ILLAPEL,CONSTITUCIóN N°502,09:00:00,08:59:00,+56993575287,-31.630917378582904,-71.16414071705776,domingo
2020-04-26,4727,10,221,240,REDFARMA,LOTA,LOTA,PEDRO AGUIRRE CERDA 651,09:00:00,08:59:00,+560,-37.091962,-73.157283,domingo
2020-04-27,4804,7,109,128,ARCA,MELIPILLA,MELIPILLA,BAZTAN 210,08:00:00,07:59:00,+56,-33.6861588,-71.2166838,lunes
2020-04-27,5099,7,120,139,FARMA TOUT,QUILICURA,QUILICURA,AVENIDA O'HIGGINS 0201,08:00:00,07:59:00,+56,-33.3601991,-70.7296068,lunes
2020-04-26,5197,12,286,305,INTEGRAL LANCO,LANCO,LANCO,LIBERTAD N° 338,09:00:00,08:59:00,+56988080659,-39.4525314,-72.77454610000001,domingo
2020-04-27,5265,3,12,68,FARMACIA CRUZ VERDE,ANTOFAGASTA,ANTOFAGASTA CENTRO,"PRAT 491, ANTOFAGASTA",08:00:00,07:59:00,+560228700717,-23.6497564,-70.39616480000001,lunes
2020-04-26,5288,8,168,187,FARMACIA LA AVENIDA,SANTA CRUZ,SANTA CRUZ,"ERRAZURIZ 989, SANTA CRUZ",09:00:00,08:59:00,+56,-34.6346534,-71.35576300000002,domingo
2020-04-26,5396,11,260,279,FARMACIA DR. SIMI,GORBEA,GORBEA,LORD COCHRANE N° 520,09:00:00,08:59:00,+56452491029,-39.10065895491932,-72.67413139343262,domingo
2020-04-26,5414,2,9,65,FARMACIA NOVAVITA,IQUIQUE,IQUIQUE,"PATRICIO LYNCH N° 426, IQUIQUE",09:00:00,08:59:00,+56989007959,-20.212723887318237,-70.1513167085983,domingo
2020-04-27,5499,16,232,251,DR. SIMI,QUILLON,QUILLON,"CAYUMANQUI Nº 428, QUILLóN, REGIóN DEL BIOBíO",08:00:00,23:59:00,+569974472349,-36.743012881134554,-72.473710704599,lunes
2020-04-26,5519,13,311,384,FARMACIA CRUZ VERDE,PUERTO MONTT,SECTOR CENTRO,"ILLAPEL N°10, LOCAL C3A, CENTRO COMERCIAL PASEO COSTANERA, PUERTO MONTT",09:00:00,08:59:00,+560,-41.4723017,-72.9365863,domingo
2020-04-27,5597,10,203,222,ELIAS,CAÑETE,CAÑETE LOCALIDAD 1,AVENIDA PRESIDENTE FREI N° 625 LOCAL 1,08:00:00,23:59:00,+56,-37.7944462,-73.39103720000003,lunes
2020-04-27,5627,7,119,378,EL TREBOL,PUENTE ALTO,PUENTE ALTO SUR,SARGENTO MENADIER 40,08:00:00,07:59:00,+560,-33.615979,-70.574113,lunes
2020-04-27,5946,10,248,267,ARCOIRIS,TUCAPEL,HUEPIL,12 DE FEBRERO N° 93-B,08:00:00,23:59:00,+56432212200,-37.242472,-71.942691,lunes
2020-04-26,5962,5,39,95,FARMACIA PUNTO BLANCO,OVALLE,OVALLE,VICUÑA  MACKENNA 212,09:00:00,08:59:00,+56931913323,,,domingo
2020-04-26,6012,9,178,197,FARMACIA VIDAFARMA,LINARES,LINARES,CHACABUCO Nº456-D LINARES,09:00:00,08:59:00,+56998282436,,,domingo
2020-04-27,6056,3,20,76,FARMACIA TOCOPILLA,TOCOPILLA,TOCOPILLA,21 DE MAYO 1532-1524,08:00:00,07:59:00,+569931169654,-22.09384082331364,-70.2016776021005,lunes
2020-04-26,6098,5,33,89,CRUZ VERDE,COQUIMBO,COQUIMBO,ALDUNATE 1499  Y 1491,09:00:00,08:59:00,+560,,,domingo
2020-04-26,6145,9,194,213,FARMACIA LAWEN,TALCA,TALCA CENTRO,5 ORIENTE Nº1191 TALCA,09:00:00,08:59:00,+56961204532,35.429762,71.660340,domingo
2020-04-27,6175,7,87,106,SALCOBRAND,COLINA,COLINA,"CALETERA ORIENTE AUTOPISTA LOS LIBERTADORES 22909, LOCAL 3",08:00:00,07:59:00,+56,-33.207196,-70.666266,lunes
