name,url,description,datePublished,imagen,pais,Fuente
"Informe que defiende ""nueva normalidad"" proyecta en 2 a 3 ...",https://www.emol.com/noticias/Nacional/2020/04/22/983824/Informe-nueva-normalidad.html,"Para ese periodo se estima ""altamente probable que el número de contagios nuevos sea igual al número de recuperados nuevos"", según se lee en el texto del Gobierno.",22-04-2020 15:21,https://www.bing.com/th?id=ON.929C1E366775F435DFC476DB9AAF9901,Chile,Emol
Coronavirus en San Antonio: La precaria... | Puranoticia,https://www.puranoticia.cl/noticias/regiones/coronavirus-en-san-antonio-la-precaria-situacion-de-su-hospital-y-la/2020-04-25/204927.html,Hace al menos 15 días la autoridad regional manejaba datos certeros de lo que podía suceder en San Antonio y sus alrededores.,27-04-2020 01:23,https://www.bing.com/th?id=ON.A516649310D80721342E96D854C24543,Chile,Puranoticia.cl
Marco Enríquez Ominami criticó compra de buques de guerra ...,https://www.elperiscopio.cl/destacado-1/marco-enriquez-ominami-critico-compra-de-buques-de-guerra-a-australia/,"Luego que las autoridades australianas confirmaron la venta de dos buques de guerra para Chile en medio d Covid-19,diversas voces salieron a manifestar su desagrad",27-04-2020 01:40,https://www.bing.com/th?id=ON.F167D23E7A7670ECA02060F3FFC4D45F,Chile,elperiscopio.cl
Día de las “carabinas cruzadas” | ELPINGUINO.COM,https://elpinguino.com/noticia/2020/04/26/dia-de-las-carabinas-cruzadas,"El 27 de abril de 1927 se daba origen a una de las reformas más trascendentales en torno a la función policial en Chile, lo que de una u otra forma es reflejo de una época, el entonces vicepresidente",27-04-2020 03:42,https://www.bing.com/th?id=ON.234C3419E6BAC420BD3BB99478D28D9D,Chile,ELPINGUINO
En Italia aseguran que la MLS podría ser el próximo ...,https://www.publimetro.cl/cl/grafico-chile/2020/04/26/alexis-sanchez-mls-fichajes.html,Las especulaciones sobre el posible arribo del delantero chileno a la liga de Estados Unidos aumentan con la compra de una casa lujosa en Florida.,27-04-2020 03:56,https://www.bing.com/th?id=ON.2937069C4B6530CDAE52CB13FF78FB15,Chile,publimetro.cl
Defensores visitan cárceles de la región para conocer ...,http://www.eldivisadero.cl/noticia-56642,"De esta manera, el pasado miércoles se dio inicio en la región a estos operativos. El lugar elegido fue la cárcel de Coyhaique por ser la que concentra el mayor número de personas, hombre y mujeres pr",27-04-2020 04:03,https://www.bing.com/th?id=ON.0921FC594BDE86AA2094C51C1E6620E4,Chile,Diario el Divisadero
Se abren 1.200 nuevos cupos para cursos sin costo para ...,http://www.granvalparaiso.cl/tendencias/se-abren-1-200-nuevos-cupos-para-cursos-sin-costo-para-cubrir-la-alta-demanda-por-trabajadores-del-area-digital/,"En un contexto donde la demanda por personas con habilidades digitales ha aumentado en un 32%, Sence y el programa Talento Digital para Chile anunciaron sus 3.000 becas 2020. La primera convocatoria o",27-04-2020 04:39,https://www.bing.com/th?id=ON.B20E6D0FC225F65654D8E62232603B21,Chile,granvalparaiso.cl
Creamfields Chile anunció line-up del evento y comunicó ...,https://www.radiosantiago.cl/archivo/128144,"Durante este domingo, Creamfields Chile anunció su line-up luego de la postergación del festival debido a la pandemia por coronavirus Covid-19. A través de redes sociales, la organización comunicó",27-04-2020 05:33,https://www.bing.com/th?id=ON.22EA2E72EB7099EC3D40CA7E54FBE6D7,Chile,Radio Santiago
Piñera por fecha del Plebiscito y la pandemia: “Es un tema ...,https://www.adnradio.cl/politica/2020/04/26/pinera-por-fecha-del-plebiscito-y-la-pandemia-es-un-tema-que-quizas-se-va-a-volver-a-discutir.html,"En conversación con CNN en Español, el Presidente Sebastián Piñera habló acerca del impacto que podría generar la pandemia del coronavirus Covid-19, principalmente en el Plebiscito con miras al proces",27-04-2020 05:34,https://www.bing.com/th?id=ON.612C262D507F13EEB823FDE305B8A22B,Chile,ADN
Estudio chileno sobre Covid-19 determinó que microgotas de ...,https://www.elmostrador.cl/agenda-pais/2020/04/27/estudio-chileno-sobre-covid-19-determino-que-microgotas-de-estornudos-pueden-viajar-hasta-11-metros/,"Un estudio liderado por investigadores de MSET, UdeC e Incar determinó que microgotas de estornudos pueden viajar hasta 11 metros, considerando factores como el viento.",27-04-2020 06:27,https://www.bing.com/th?id=ON.7BB5ED8A6031DB01CA0A5254A6D25472,Chile,El Mostrador
Cadem: 53% cree que prioridad es volver al trabajo por ...,https://www.t13.cl/noticia/nacional/cadem-53-cree-prioridad-es-hacer-personas-vuelvan-al-trabajo-covid-19,"Sin embargo, en el mismo sondeo, un 65% de los encuestados declara que está mucho o bastante preocupado por la posibilidad de contagiarse.",27-04-2020 06:41,https://www.bing.com/th?id=ON.0C082D1D0EA041391AAE862ADE0AC26F,Chile,T13
Covid-19: Tiro de gracia para la sociedad civil de Chile ...,https://www.elmostrador.cl/agenda-pais/2020/04/27/covid-19-tiro-de-gracia-para-la-sociedad-civil-de-chile/,"Ante el crítico escenario que estamos viviendo desde octubre del 2019 en nuestro país y que ahora se ha visto agudizado a raíz de una de las pandemias más grandes de la historia, las organizaciones de",27-04-2020 07:46,https://www.bing.com/th?id=ON.E5D5D81A02B55259D3CDABD11F248424,Chile,El Mostrador
Al límite fiscal - Diario Financiero,https://www.df.cl/noticias/opinion/columnistas/jorge-selaive/al-limite-fiscal/2020-04-24/202805.html,"Chile ha llegado al límite de su gasto fiscal sin comprometer la capacidad de los próximos gobiernos de satisfacer nuevas y crecientes necesidades sociales. En salud, por ejemplo, no basta con constru",27-04-2020 08:02,https://www.bing.com/th?id=ON.D6CBD69D2D6B606A58DEC8D785F380FC,Chile,df.cl
Chile en tiempos de pandemia: Entre la revuelta de octubre ...,https://www.elciudadano.com/portada/chile-en-tiempos-de-pandemia-entre-la-revuelta-de-octubre-y-los-riesgos-de-una-recuperacion-neoliberal/04/27/,El Ciudadano noticias y periodismo en la era de Internet. Libertad al momento de informar. Una mirada sudamericana de la realidad contemporánea,27-04-2020 08:07,https://www.bing.com/th?id=ON.B1B3419A6938B63EE9578B3C1BF99775,Chile,El Ciudadano
COVID-19: Ocupación de camas UCI aumentó en un 27% en ...,https://www.t13.cl/noticia/nacional/COVID-19-Ocupacion-de-camas-UCI-aumento-en-un-27-en-Santiago-durante-la-ultima-semana,"El presidente de la Sociedad de Medicina Intensiva de Chile, Tomás Regueira, aseguró que tengo la sensación de que Santiago se está llenando, pero eso no se ve en el número global del país”.",27-04-2020 09:05,https://www.bing.com/th?id=ON.BD03E7975798D1C910AAC9AF887B7514,Chile,T13
"El tema no es el plebiscito, es el coronavirus - La Tercera",https://www.latercera.com/opinion/noticia/el-tema-no-es-el-plebiscito-es-el-coronavirus/HX7LUUMWIBG4HIKCPF3RF2B5VM/,"Ni las autoridades ni nadie sabe con certeza que pasará con el virus de una semana para otra en nuestro país, menos se puede saber qué pasará el domingo 25 de octubre.",27-04-2020 10:48,https://www.bing.com/th?id=ON.975A682FD5A90BB125F1AA52D73DB179,Chile,LA TERCERA
Mesa Social Covid propuso programa para consignar efectos ...,https://www.adnradio.cl/nacional/2020/04/26/mesa-social-covid-propuso-programa-para-consignar-efectos-de-la-pandemia-en-la-salud-mental.html,"El diario La Tercera informó que la Mesa Social Covid elaboró un documento, en el cual se propone un plan con el fin de consignar los efectos de la pandemia por Covid-19 en materia de salud mental. El",27-04-2020 10:50,https://www.bing.com/th?id=ON.02634EF979BB22AD2ACDD43FA923847B,Chile,ADN
La brecha de género en la cuarentena chilena - La Tercera,https://www.latercera.com/nacional/noticia/la-brecha-de-genero-en-la-cuarentena-chilena/QAMARWOOHFERJA3JVUHWZZ4HMI/,"Más preocupación por el futuro, cargas más pesadas en el hogar y una sensación mayoritaria de que hacen en solitario el trabajo doméstico. Son las respuestas predominantes de las mujeres en el sondeo",27-04-2020 10:53,https://www.bing.com/th?id=ON.2593B4A11E321122A0D825208D4289EB,Chile,LA TERCERA
Leonel Sánchez: “Nadie de Azul Azul me llamó por mi cumple ...,https://www.lacuarta.com/deportes/noticia/488260/488260/,"Leonel Sánchez atiende el teléfono con la humildad de siempre. Es mediodía en su casa, donde la familia lo regaloneó con desayuno",27-04-2020 11:08,https://www.bing.com/th?id=ON.32FBADCE24EC03939CCF805656442AC3,Chile,La Cuarta
Día Nacional del Emprendimiento: los desafíos en tiempos ...,https://www.lacuarta.com/l4-comerciante/noticia/dia-nacional-del-emprendimiento-los-desafios-tiempos-dificiles/488174/,"Grandes retos enfrentan los emprendedores chilenos al conmemorarse una vez más su Día Nacional, el miércoles 29 de abril, algo que tiene muy claro Alejandra Mustakis, presidenta de la Asociación de Em",27-04-2020 11:08,https://www.bing.com/th?id=ON.D2DFA897FB51F2BB5464666D5400170A,Chile,La Cuarta
Chile registra 473 nuevos casos: Covid-19 suma 13.331 ...,https://www.biobiochile.cl/noticias/nacional/chile/2020/04/26/chile-registra-473-nuevos-casos-covid-19-suma-13-331-contagios-y-suben-a-189-los-fallecidos.shtml,"Con las cifras recabadas hasta las 21 horas de este sábado, el gobierno indicó un aumento de 473 nuevos casos confirmados de contagio, lo que totaliza 13.331 personas infectadas. De ellas, 6.118 son c",27-04-2020 11:09,https://www.bing.com/th?id=ON.9AD5D096678E877BB181095B5580E7CF,Chile,Chile
"Presidente Piñera por Plebiscito en octubre: ""Es un tema ...",https://www.24horas.cl/politica/presidente-pinera-por-plebiscito-en-octubre-es-un-tema-que-quizas-se-va-a-volver-a-discutir-4130289,El Mandatario aclaró en una entrevista que el foco del Gobierno está puesto en proteger las vidas y empleos de los chilenos.,27-04-2020 11:17,https://www.bing.com/th?id=ON.4A62454A6BF4C2E66D2275233C7A19A8,Chile,24 Horas Chile
"Bernardo Larraín y ""el día después del covid-19"": ""Es ...",https://www.emol.com/noticias/Economia/2020/04/27/984191/Sofofa-ciclo-conversatorio-desafios-covid.html,"El presidente de la Sofofa analiza la serie de desafíos que enfrentará el país ante la pandemia, la crisis social y las nuevas tendencias. Todos ellos serán abordados en el ciclo de debates organizado",27-04-2020 11:21,https://www.bing.com/th?id=ON.D22DFCCC1509F9F255570DC148A3F67C,Chile,Emol
Banco Santander entrega becas de conectividad a alumnos de ...,https://noticias.universia.cl/educacion/noticia/2020/04/27/1167824/banco-santander-entrega-becas-conectividad-alumnos-educacion-superior-chile.html,Este beneficio permitirá que 10.000 estudiantes de universidades e institutos profesionales puedan acceder a sus clases de manera remota. La gestión y administración de estas becas estarán a cargo de,27-04-2020 11:27,https://www.bing.com/th?id=ON.AF3BA952D07591B5E1602F6946D7A019,Chile,Universia Chile
Panel UC: mayoría cree que cifras del Minsal reflejan ...,https://www.df.cl/noticias/economia-y-politica/pais/panel-uc-mayoria-cree-que-cifras-del-minsal-reflejan-razonablemente/2020-04-24/195516.html,"Sin embargo, el profesor de la Escuela de Gobierno UC, Roberto Méndez, afirmó que todavía queda una “tarea pendiente” acerca de cómo se transparenta la información.",27-04-2020 11:29,https://www.bing.com/th?id=ON.0FAE0B9978407406CFAD244CDEF93B02,Chile,df.cl
Bebé de cinco meses se contagió de coronavirus en la ...,https://www.publimetro.cl/cl/noticias/2020/04/26/bebe-de-cinco-meses-contagiada-coronavirus.html,La menor de edad fue contagiada por su padre quien estuvo en contacto con uno de los 19 casos positivos que tiene la comuna del Maule,27-04-2020 11:33,https://www.bing.com/th?id=ON.5861B9CED488411FFCD0BEC7363BFA6D,Chile,publimetro.cl
"Gobierno tras dichos de la OMS: ""No hemos hablado de un ...",https://www.cooperativa.cl/noticias/sociedad/salud/coronavirus/gobierno-tras-dichos-de-la-oms-no-hemos-hablado-de-un-carnet-de/2020-04-26/121225.html,"La subsecretaria Paula Daza afirmó que se trata de un ""carnet de alta"". La autoridad dijo que quienes se recuperaron ""tienen menos probabilidad de volver a enfermarse por el Covid-19 que está circulan",27-04-2020 11:42,https://www.bing.com/th?id=ON.7A037B5C6A64644D86FEE151724E5D1E,Chile,Radio Cooperativa
Por regiones: Los 13.331 casos positivos de coronavirus ...,https://www.cooperativa.cl/noticias/sociedad/salud/coronavirus/por-regiones-los-13-331-casos-positivos-de-coronavirus/2020-04-26/122707.html,"Hasta las 21:00 horas del sábado 25 de abril Chile sumaba 13.331 casos de Covid-19 positivos, de los cuales 189 han fallecido y 7.024 son considerados recuperados, de acuerdo al informe diario del Min",27-04-2020 11:50,https://www.bing.com/th?id=ON.265D58B53C8D81553D3FF377193C8C73,Chile,Radio Cooperativa
Acusan injerencia: Cancillería citó a diplomático ...,https://www.cnnchile.com/mundo/cancilleria-alberto-fernandez-reunion-injerencia-oposicion_20200427/,"El Gobierno manifestó su molestia luego que el mandatario argentino se reuniera por videollamada con 23 políticos chilenos que participan del Grupo de Puebla y les hiciera un llamado a que ""zanjen dif",27-04-2020 11:55,https://www.bing.com/th?id=ON.A5A29BC8B1B22141D870858F343B2829,Chile,CNN Chile
Coronavirus en Chile: Recuperados de la... | Puranoticia,https://www.puranoticia.cl/noticias/nacional/coronavirus-en-chile-recuperados-de-la-enfermedad-llegan-al-52-6-del/2020-04-26/115246.html,En las últimas horas hubo 8 nuevos fallecidos y 473 nuevos casos que suman un total de 13.331 personas diagnosticas con Covid-19.,27-04-2020 12:08,https://www.bing.com/th?id=ON.DBB8038C4AAA0D66D46083F3B396EC40,Chile,Puranoticia.cl
